datetime,dew,humidity,precip,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon,Region,Tornado,Temp_Difference
2019-06-10,44.7,51.8,0.0,31.0,18.7,324.6,1019.2,38.4,9.9,315.5,27.2,9.0,Partially cloudy,partly-cloudy-day,UPPER MIDWEST,0,17.799999999999997
2019-06-10,42.5,52.3,0.0,20.8,13.9,236.8,1023.3,29.3,9.9,297.5,25.5,9.0,Partially cloudy,partly-cloudy-day,NORTHERN ROCKIES AND PLAINS,0,29.900000000000006
2019-06-10,44.8,48.5,0.0,26.2,12.0,329.4,1025.9,0.0,9.9,325.8,28.0,10.0,Clear,clear-day,SOUTH,0,25.6
2019-06-10,63.8,91.6,0.18,0.0,14.2,74.1,1016.0,95.0,6.9,78.3,6.7,4.0,"Rain, Overcast",rain,NORTHEAST,0,13.800000000000004
2019-06-10,35.1,42.6,0.0,31.7,21.6,156.6,1025.5,23.5,9.9,488.4,42.0,9.0,Partially cloudy,partly-cloudy-day,SOUTHWEST,0,19.799999999999997
2019-06-11,52.0,76.5,0.145,0.0,13.2,180.8,1018.3,50.0,9.6,70.1,6.1,2.0,"Rain, Partially cloudy",rain,UPPER MIDWEST,1,10.700000000000003
2019-06-13,63.7,80.2,0.432,23.0,15.7,97.2,1009.5,72.9,7.9,89.6,7.7,4.0,"Rain, Partially cloudy",rain,NORTHEAST,1,16.39999999999999
2019-06-15,56.3,69.4,0.219,29.6,19.0,189.1,1014.4,77.7,9.2,125.5,10.9,7.0,"Rain, Partially cloudy",rain,OHIO VALLEY,1,14.799999999999997
2019-06-19,65.2,74.7,0.627,31.1,11.4,243.8,1007.6,34.3,9.6,249.9,21.7,8.0,"Rain, Partially cloudy",rain,SOUTH,1,21.999999999999993
2019-06-19,73.6,67.4,0.0,25.3,11.3,184.6,1008.5,29.6,9.5,320.2,27.6,10.0,Partially cloudy,partly-cloudy-day,SOUTH,1,18.60000000000001
2019-06-19,43.7,54.8,0.459,31.1,20.8,277.1,1010.2,36.2,9.9,287.6,24.8,10.0,"Rain, Partially cloudy",rain,NORTHERN ROCKIES AND PLAINS,1,28.0
2019-06-23,70.0,88.5,0.061,26.4,18.0,178.9,1009.4,43.1,9.8,134.3,11.7,4.0,"Rain, Partially cloudy",rain,OHIO VALLEY,1,8.0
2019-06-23,71.5,85.4,1.606,40.8,25.7,197.2,1012.9,75.6,8.1,98.1,8.4,6.0,"Rain, Partially cloudy",rain,SOUTH,1,22.200000000000003
2019-06-24,69.3,81.6,0.876,34.4,10.3,210.4,1009.8,58.0,9.8,241.7,20.8,8.0,"Rain, Partially cloudy",rain,OHIO VALLEY,1,19.099999999999994
2019-06-25,40.9,45.9,0.003,23.0,16.0,240.1,1011.2,15.7,9.9,297.3,25.6,10.0,Rain,rain,NORTHERN ROCKIES AND PLAINS,1,25.799999999999997
2019-06-26,54.9,59.0,0.0,19.7,9.2,165.1,1013.6,0.1,9.9,321.2,27.8,9.0,Clear,clear-day,NORTHERN ROCKIES AND PLAINS,0,29.200000000000003
2019-06-26,62.1,64.8,0.39,39.6,20.7,166.5,1015.4,18.6,9.5,195.9,16.3,8.0,Rain,rain,NORTHERN ROCKIES AND PLAINS,0,22.0
2019-06-26,64.7,65.0,0.0,0.0,10.5,223.2,1017.9,28.6,9.9,326.8,28.1,10.0,Partially cloudy,partly-cloudy-day,OHIO VALLEY,0,20.30000000000001
2019-06-26,39.2,16.6,0.0,31.1,19.5,241.0,1008.7,28.5,9.9,333.0,28.5,10.0,Partially cloudy,partly-cloudy-day,SOUTHWEST,0,24.799999999999997
2019-06-26,46.9,64.4,0.032,35.6,15.9,256.3,1012.3,69.4,9.9,255.2,22.1,10.0,"Rain, Partially cloudy",rain,NORTHWEST,0,18.9
2019-06-26,66.8,70.4,0.0,25.3,13.5,209.2,1017.5,5.4,9.9,167.3,14.6,8.0,Clear,clear-day,OHIO VALLEY,0,17.299999999999997
2019-06-28,66.6,64.7,0.0,16.1,9.8,136.1,1021.8,18.6,9.6,293.6,25.2,9.0,Clear,clear-day,SOUTHEAST,0,19.799999999999997
2019-06-28,65.8,74.3,0.007,18.3,8.1,60.6,1017.3,38.7,9.9,272.2,23.4,10.0,"Rain, Partially cloudy",rain,UPPER MIDWEST,0,17.80000000000001
2019-07-02,68.9,79.1,0.441,45.0,12.6,279.2,1011.7,34.2,9.1,213.3,18.7,8.0,"Rain, Partially cloudy",rain,UPPER MIDWEST,0,18.89999999999999
