,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
208,2020-05-02,1588392000,80.1,39.8,59.7,79.2,39.8,59.7,44.3,62.9,0.0,0.0,0.0,,0.0,0.0,19.0,11.4,192.8,1018.0,40.8,9.0,219.9,19.1,8.0,06:27:58,1588415278,20:19:36,1588465176,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KBKW', '72425003860', 'F6696', '72414013866', '72412003872', 'KCRW', 'KHTS', 'BEEW2']",obs,
209,2023-05-03,1683090000,65.9,35.2,52.7,65.9,31.0,51.3,34.9,52.2,0.0,0.0,0.0,,0.0,0.0,18.3,11.3,336.6,1013.5,0.0,9.9,274.6,23.6,9.0,05:56:47,1683111407,19:54:51,1683161691,0.43,Clear,Clear conditions throughout the day.,clear-day,"['74466653944', 'KTAZ', 'KSPI', 'KAAA', 'F6994', '72439093822', '74467204862']",obs,10.0
210,2020-05-07,1588824000,68.0,37.1,52.9,68.0,33.4,52.3,36.9,57.9,0.0,0.0,0.0,,0.0,0.0,23.1,13.9,257.8,1017.2,34.3,9.9,5.0,0.0,0.0,06:35:46,1588847746,20:36:53,1588898213,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72422093820', 'KLEX', 'KFFT', '0786W', '72423353841', '99999963838', '72423513810']",obs,
211,2023-05-29,1685332800,82.1,56.0,68.0,82.5,56.0,68.1,56.7,69.7,0.084,100.0,8.33,['rain'],0.0,0.0,17.2,9.1,17.3,1014.3,86.1,9.7,255.1,21.6,9.0,06:19:31,1685355571,20:54:48,1685408088,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72422093820', 'KLEX', 'KFFT', 'AV666', 'F3150', '72423353841', '99999963838']",obs,10.0
212,2020-05-09,1588996800,53.1,35.1,41.9,53.1,28.5,38.9,26.6,60.2,0.0,0.0,0.0,,0.0,0.0,27.7,18.3,295.5,1021.3,55.1,7.1,214.0,18.5,8.0,06:20:28,1589019628,20:26:05,1589070365,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KBKW', '72425003860', 'F6696', '72414013866', '72412003872', 'KCRW', 'KHTS', 'BEEW2']",obs,
213,2020-05-31,1590897600,72.0,52.1,62.3,72.0,52.1,62.3,47.8,63.5,0.0,0.0,0.0,,0.0,0.0,25.3,9.2,322.9,1021.8,31.1,9.2,186.8,16.1,9.0,06:04:55,1590919495,20:44:09,1590972249,0.32,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['KBKW', '72425003860', 'F6696', '72414013866', '72412003872', 'KCRW', 'KHTS', 'BEEW2']",obs,
214,2022-05-10,1652155200,86.4,64.2,74.8,89.9,64.2,75.8,62.6,66.4,0.0,0.0,0.0,,0.0,0.0,19.9,12.4,162.3,1018.6,59.3,9.9,131.8,11.5,7.0,06:34:47,1652178887,20:47:53,1652230073,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72435653866', 'KEYE', 'KIND', '72438093819', '72438453842', 'F9086', '72057500173']",obs,75.0
215,2019-05-15,1557892800,70.1,44.1,57.6,70.1,44.1,57.6,46.4,69.4,0.0,0.0,0.0,,0.0,0.0,17.2,10.3,212.1,1016.2,42.0,9.9,126.7,10.9,5.0,06:28:53,1557916133,20:43:23,1557967403,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72422093820', 'KLEX', 'KFFT', '72423353841', '99999963838', '72423513810', 'C3512']",obs,
216,2019-05-15,1557892800,70.9,49.8,60.6,70.9,49.8,60.6,48.7,66.4,0.0,0.0,0.0,,0.0,0.0,,10.0,230.5,1015.3,56.4,9.9,197.3,16.8,9.0,06:30:09,1557916209,20:52:20,1557967940,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72435653866', 'KEYE', 'AR470', 'KIND', '72438093819', '72438453842', '72057500173']",obs,
217,2019-05-14,1557806400,65.9,47.0,54.5,65.9,43.1,53.7,42.3,66.4,0.012,100.0,4.17,['rain'],0.0,0.0,25.3,16.1,301.1,1015.8,59.1,9.8,225.1,19.6,7.0,06:16:27,1557828987,20:29:54,1557880194,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['KBKW', '72425003860', '72414013866', 'D7574', '72412003872', 'KCRW', 'KHTS', 'BEEW2']",obs,
